epoch,lanes,gpu_util,gpu_power_w
1787253129,1,3,40.49
1787253130,1,3,40.48
1787253132,1,2,40.52
1787253133,1,2,40.48
1787253134,1,3,40.50
1787253135,1,3,40.50
1787253136,1,3,40.49
1787253137,1,2,40.50
1787253138,1,2,40.55
1787253139,1,3,40.51
1787253140,1,3,40.52
1787253141,1,2,40.60
1787253142,1,2,40.62
1787253143,1,3,40.57
1787253144,1,3,40.55
1787253145,1,3,40.54
1787253146,1,3,40.49
1787253147,1,2,40.60
1787253148,1,3,40.58
1787253149,1,3,40.68
1787253150,1,3,40.63
1787253151,1,2,40.55
1787253152,1,2,40.64
1787253153,1,3,40.62
1787253154,1,3,40.62
1787253155,1,2,40.62
1787253156,1,3,40.62
1787253158,1,3,40.62
1787253159,1,3,40.54
1787253160,1,3,40.66
1787253161,1,2,40.59
1787253162,1,2,40.63
1787253163,1,2,40.63
1787253164,1,3,40.54
1787253165,1,3,40.65
1787253166,1,3,40.75
1787253167,1,2,40.74
1787253168,1,2,40.68
1787253169,1,3,40.65
1787253170,1,2,40.74
1787253171,1,3,40.74
1787253172,1,3,40.76
1787253173,1,3,40.72
1787253174,1,2,40.68
1787253175,1,3,40.71
1787253176,1,3,40.79
1787253177,1,3,40.85
1787253178,1,3,40.78
1787253179,1,3,40.77
1787253180,1,3,40.77
1787253181,1,3,40.77
1787253182,1,3,40.80
1787253184,1,3,40.72
1787253185,1,3,40.75
1787253186,1,2,40.79
1787253187,1,2,40.82
1787253188,1,3,40.92
1787253189,1,3,40.96
1787253190,1,3,40.85
1787253191,1,3,40.79
1787253192,1,2,40.65
1787253193,1,2,40.73
1787253194,1,2,40.79
1787253195,1,2,40.79
1787253196,1,3,40.78
1787253197,1,3,40.87
1787253198,1,3,40.89
1787253199,1,3,40.86
1787253200,1,3,40.88
1787253201,1,3,40.94
1787253202,1,3,40.95
1787253203,1,3,40.91
1787253204,1,3,40.92
1787253205,1,3,40.91
1787253206,1,3,40.88
1787253207,1,3,40.92
1787253208,1,2,40.93
1787253210,1,3,40.84
1787253211,1,3,40.97
1787253212,1,3,40.82
1787253213,1,3,40.86
1787253214,1,2,40.95
1787253215,1,2,40.97
1787253216,1,3,41.01
1787253217,1,2,41.01
1787253218,1,2,41.02
1787253219,1,2,41.04
1787253220,1,3,41.13
1787253221,1,3,41.06
1787253222,1,3,41.09
1787253223,1,3,41.09
1787253224,1,2,41.07
1787253225,1,3,41.07
1787253226,1,2,41.05
1787253227,1,2,41.01
1787253228,1,2,41.08
1787253229,1,3,41.03
1787253230,1,3,41.06
1787253231,1,3,41.01
1787253232,1,2,41.02
1787253233,1,3,41.01
1787253235,1,3,41.09
1787253236,1,2,41.10
1787253237,1,2,40.96
1787253238,1,3,40.99
1787253239,1,3,41.15
1787253240,1,3,41.06
1787253241,1,3,41.09
1787253242,1,2,41.18
1787253243,1,3,41.08
1787253244,1,3,41.12
1787253245,1,3,41.17
1787253246,1,3,41.20
1787253247,1,3,41.19
1787253248,1,3,41.21
1787253249,1,3,41.21
1787253250,1,2,41.18
1787253251,1,3,41.21
1787253252,1,2,41.18
1787253253,1,3,41.23
1787253254,1,2,42.46
1787253255,1,3,43.10
1787253256,1,3,42.26
1787253257,1,3,42.26
1787253258,1,3,42.28
1787253259,1,3,42.28
1787253261,1,2,42.26
1787253262,1,2,42.20
1787253263,1,3,42.06
1787253264,1,3,41.99
1787253265,1,3,41.91
1787253266,1,2,41.86
1787253267,1,3,41.73
1787253268,1,3,41.69
1787253269,1,2,41.66
1787253270,1,3,41.61
1787253271,1,3,41.48
1787253272,1,3,41.36
1787253273,1,3,41.22
1787253274,1,2,41.16
1787253275,1,3,41.08
1787253276,1,3,40.94
1787253277,1,2,40.75
1787253278,1,3,40.68
1787253279,1,2,40.56
1787253280,1,2,40.44
1787253281,1,3,40.37
1787253282,1,2,40.38
1787253283,1,2,40.36
1787253284,1,2,40.30
1787253286,1,2,40.16
1787253287,1,2,40.09
1787253288,1,2,39.97
1787253289,1,3,39.49
1787253290,1,3,39.49
1787253291,1,2,39.45
1787253292,1,2,39.39
1787253293,1,2,39.22
1787253294,1,3,39.16
1787253295,1,3,39.04
1787253296,0,1,39.06
1787253297,0,0,38.65
1787253298,0,0,38.37
